handle,username,timestamp,content,topic,language,economic_policy,social_policy,economic_policy_rounded,social_policy_rounded
@markodjuric,Марко Ђурић,2021-10-13T14:22:01.000Z,"Civilians in Zvecan have been attacked this morning when special forces of the so-called Kosovo police opened fire at unarmed protesters. 

A three year old baby has been shot at, dozens of peaceful Serb civilians wounded in an action unparalleled in brutality.",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-06-11T13:58:40.000Z,"1/3 Jesus hates Serbs! Freshly painted the day before yesterday on a Serbian Orthodox Church in Pristina, the ""capital"" of Kosovo, where only 90 or so elderly Serbs remain of a pre-war population of over 45000. The next day, Kosovo Police sat idle and K.government provided...",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-04-25T17:10:43.000Z,"It should be very clear to everyone what the agenda is here. ""The dialogue is not a priority"" but voting in person in a neighbouring country is? What is even more disturbing is that the political movement led by the ""prime minister"" of Kosovo* is running in the elections for...",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-09-20T14:57:24.000Z,1/3 Kurti regime in Kosovo* is pushing the region to the brink of bloodshed. Sending heavily armed special forces to Serb majority areas just for the sake of scoring cheap political points in the run for October 17 local elections is life-threatening and in violation of all...,kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-10-13T14:22:03.000Z,"KFOR/NATO need to react and deploy immediately to prevent further violence.

Under the false pretext of responding to contraband allegations, Kosovo special forces, armed with assault rifles, broke into Serbian pharmacies and confiscated medicine.",kosovo,en,0.3,0.9,0.5,1.0
@SerbianPM,Aна Брнабић,2018-10-31T17:47:08.000Z,"In meetings with the President and Prime Minister of Belarus, Lukashenko and Rumas, we confirmed the friendship between our two countries and two nations. Serbia appreciates Belarus’ support in finding a solution for Kosovo and Metohija.",kosovo,en,0.1,0.5,0.0,0.5
@SerbianPM,Aна Брнабић,2019-06-10T13:52:00.000Z,Meeting with US Deputy Assistant Secretary of State Matthew Palmer. We talked about the situation in Kosovo and Metohija and the possibility of continuing the dialogue between Belgrade and Pristina.,kosovo,en,0.1,0.5,0.0,0.5
@markodjuric,Марко Ђурић,2020-05-12T11:20:49.000Z,"Pursuant to the UNSC Resolution 1244, Kosovo and Metohija is an integral part of the Republic of Serbia, therefore we deem that the solution for the issue of Kosovo and Metohija should only be sought within this framework.",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-03-17T15:21:38.000Z,"3/3… on the territory of Kosovo and Metohija, which reached its tragic culmination on March 17, 2004, is still powerful. Therefore, it is upon us all not to allow any exodus or pogrom to happen ever again. #WeRemember #NeverAgain",kosovo,en,0.3,0.9,0.5,1.0
@markodjuric,Марко Ђурић,2021-04-23T18:40:44.000Z,"3/4 sporadic physical attacks, which are still, unfortunately, present, as well as through refusals to enforce court decisions made to protect the status and property of the SOC in Kosovo and Metohija.
Continued international presence and effort to ensure the respect of basic...",kosovo,en,0.3,0.9,0.5,1.0
